Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Playlist Reach,Apple Music Playlist Count,SiriusXM Spins,Deezer Playlist Count,Amazon Playlist Count,Shazam Counts,Explicit Track
From The D To The A feat Lil Yachty,From The D To The A feat Lil Yachty,Tee Grizzley,2017-03-17,364325529.0,83638.0,10924243.0,3111436.0,15.0,86.0,2.0,17.0,891593.0,1
Me Reh,Los Nmeros 1 De Los 40 Music Inspires L,Danny Ocean,2017-03-11,1778934858.0,37040.0,21117726.0,484024351.0,12.0,86.0,9.0,10.0,6246243.0,0
Nonsense,emails i cant send,Sabrina Carpenter,2022-07-15,817286460.0,55620.0,61610668.0,201230072.0,67.0,1122.0,20.0,44.0,1180048.0,0
Run It Up feat Offset  Moneybagg Yo,Destined 2 Win,Lil Tjay,2021-02-04,392745531.0,141221.0,21996686.0,54251921.0,21.0,3.0,8.0,2.0,1432080.0,1
Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,1222228366.0,109325.0,48327775.0,832957854.0,174.0,169.0,66.0,84.0,3669533.0,0
Worth It,Worth It,YK Osiris,2019-08-02,340112388.0,66487.0,6617103.0,41301726.0,28.0,32.0,5.0,2.0,1660493.0,0
Fight The Feeling,Fight The Feeling,Rod Wave,2023-03-31,86327319.0,18112.0,2247123.0,377095739.0,18.0,1989.0,8.0,10.0,567245.0,1
Axel F,Best of Crazy Hits,Crazy Frog,2009-11-12,178536020.0,870.0,142649.0,204191511.0,1.0,86.0,15.0,17.0,2967336.0,0
Robbery,Robbery,Juice WRLD,2019-02-13,1306374052.0,213493.0,32159591.0,46631449.0,45.0,198.0,36.0,7.0,1815403.0,1
Bebe Dame,Bebe Dame  Single,Fuerza Regida,2022-12-16,562099076.0,51229.0,20388246.0,97746040.0,49.0,36.0,18.0,17.0,2289240.0,0
Green Green Grass,george ezra songs to play when the suns out,George Ezra,2022-03-22,300430813.0,50552.0,12812123.0,2854520083.0,51.0,46.0,29.0,27.0,2071865.0,0
Zihaal e Miskin,Zihaal e Miskin,JavedMohsin,2023-05-25,110644306.0,4432.0,3741353.0,85756632.0,28.0,86.0,15.0,4.0,184497.0,0
Fiel,Los Legendarios 001,Los Legendarios,2021-04-02,642558596.0,106151.0,40485324.0,56447780.0,77.0,45.0,24.0,30.0,2242149.0,0
Neverita,Un Verano Sin Ti,Bad Bunny,2022-06-05,831868563.0,93211.0,21780286.0,21690461.0,36.0,391.0,12.0,5.0,1247731.0,0
2002  Remix,2002 Remix,Shaun Reynolds,2018-11-05,303962.0,88.0,6796.0,97746040.0,28.0,86.0,15.0,17.0,260.0,0
No Se Va,No Se Va,Grupo Frontera,2022-01-12,51750.0,67.0,3924.0,41692770.0,28.0,86.0,15.0,17.0,854584.0,0
Infinity,Feel Something,Jaymes Young,2017-06-23,1059940209.0,169454.0,48961048.0,464030450.0,15.0,556.0,46.0,6.0,8764483.0,0
Popular with Playboi Carti  Madonna  Music from the HBO Original Series,The Highlights Deluxe,The Weeknd,2021-05-02,812954133.0,137681.0,53947304.0,504465645.0,147.0,7.0,43.0,47.0,6377668.0,1
adore u,adore u,Fred again,2023-11-08,129427492.0,44672.0,48826452.0,82845102.0,69.0,3.0,34.0,46.0,663446.0,0
Numb Little Bug,Numb Little Bug,Em Beihold,2022-01-28,360584207.0,68868.0,18801509.0,8474222.0,34.0,2116.0,19.0,37.0,2132903.0,0
Feel It,Feel It From The Original Series Invincib,d4vd,2024-03-28,110377644.0,8980.0,78939536.0,21866966.0,41.0,44.0,54.0,55.0,363083.0,0
Loco Contigo feat J Balvin  Tyga,Loco Contigo with J Balvin feat Tyga,DJ Snake,2019-06-13,822696809.0,141261.0,26970098.0,532691572.0,184.0,124.0,117.0,27.0,6782620.0,0
Faz um Vuk Vuk Teto Espelhado,Faz um Vuk Vuk Teto Espelhado,MC Kevin o Chris,2023-07-20,222879686.0,26854.0,23489333.0,23002967.0,16.0,86.0,31.0,19.0,130095.0,1
Suicidal,Melly vs Melvin,YNW Melly,2019-11-22,572441305.0,113061.0,13801176.0,7772461.0,20.0,54.0,4.0,4.0,2287665.0,1
Photo From Luka Chuppi,Photo From Luka Chuppi,Karan Sehmbi,2019-12-02,72849488.0,9804.0,2252266.0,93651376.0,13.0,86.0,15.0,3.0,215757.0,0
Sky,Whole Lotta Red,Playboi Carti,2020-12-25,710319373.0,209136.0,30701216.0,280367116.0,31.0,59.0,10.0,14.0,1537393.0,1
Love On,Love On,Selena Gomez,2024-02-22,45878045.0,3731.0,26039293.0,2436411201.0,50.0,150.0,58.0,45.0,350842.0,0
Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,1828026153.0,249663.0,71678167.0,1568063711.0,58.0,135.0,112.0,28.0,11327684.0,1
Brickell,MANIFESTING 2005,Feid,2024-10-04,59546208.0,5064.0,62237863.0,28104439.0,32.0,13.0,15.0,14.0,259017.0,1
I Like Me Better,I Like Me Better,Lauv,2017-05-19,1784308411.0,157818.0,34910721.0,145737544.0,92.0,241.0,34.0,24.0,7684583.0,0
RUNAWAY,RUNAWAY,OneRepublic,2023-05-26,127466467.0,16650.0,19684494.0,179672192.0,57.0,710.0,43.0,12.0,1350255.0,0
Que Se Cuide,Que Se Cuide,Luis R Conriquez,2024-03-05,36145614.0,1566.0,48637114.0,125856157.0,3.0,86.0,2.0,17.0,178962.0,0
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2019-07-06,239850720.0,31705.0,3101433.0,97746040.0,3.0,86.0,4.0,17.0,854584.0,0
On My Love,On My Love Sped Up,Zara Larsson,2023-12-09,128024416.0,20826.0,60798732.0,1176532287.0,73.0,77.0,82.0,48.0,934544.0,0
She Share Story,She Share Story,Shayne Orok,2020-02-06,239850720.0,2443.0,424979.0,97746040.0,28.0,86.0,1.0,17.0,854584.0,0
Mujeriego,Mujeriego  Single,Ryan Castro,2021-12-17,285723562.0,63343.0,16024245.0,43034965.0,32.0,715.0,28.0,24.0,3132192.0,0
Miss The Rage feat Playboi Carti,Miss The Rage,Trippie Redd,2021-07-05,535695469.0,188778.0,26774987.0,112767017.0,58.0,9.0,15.0,1.0,1525672.0,1
TUTA GOLD,TUTA GOLD,Mahmood,2024-07-02,95029509.0,5218.0,9118781.0,965737153.0,28.0,86.0,13.0,25.0,279900.0,0
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,161916445.0,3784.0,17036800.0,97746040.0,32.0,86.0,7.0,27.0,47529.0,0
Dandini Dandini Dastana,Hey Dostum,Derya Yildirim,2023-10-02,12750.0,8.0,137.0,97746040.0,28.0,86.0,15.0,17.0,186.0,0
Florida feat Florence  the Machine,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,140177107.0,3866.0,16996059.0,97746040.0,19.0,86.0,3.0,41.0,68490.0,1
Legends,Legends,Juice WRLD,2018-06-22,681282854.0,118639.0,18809173.0,1460530.0,16.0,86.0,19.0,2.0,1025107.0,1
Black Beatles,SremmLife 2 Deluxe,Rae Sremmurd,2016-12-08,972005229.0,186174.0,27470180.0,189211405.0,160.0,108.0,45.0,47.0,12673047.0,1
King Size,Feed Tha Streets III,Roddy Ricch,2022-11-18,3248779.0,3105.0,291653.0,440677355.0,28.0,86.0,15.0,17.0,854584.0,1
Girls Want Girls with Lil Baby,Certified Lover Boy,Drake,2021-03-09,459480135.0,137691.0,22202207.0,27126576.0,77.0,608.0,24.0,46.0,1506723.0,1
Linger  SiriusXM Session,SiriusXM Session,Royel Otis,2024-05-31,8053814.0,908.0,11708987.0,97746040.0,16.0,86.0,1.0,61.0,854584.0,0
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,2018-12-09,1291244134.0,241882.0,48328259.0,140688974.0,39.0,116.0,6.0,3.0,1785813.0,1
BIPOLAR,BIPOLAR,Peso Pluma,2023-07-09,222295526.0,18049.0,13695569.0,164839813.0,9.0,4.0,6.0,10.0,872796.0,1
